location_id,population_served,sample_date,baseline_rate
California,100000,2023-12-23,2.4
California,100000,2023-12-23,7.0
California,100000,2023-12-23,4.5
California,100000,2023-12-23,13.9
California,100000,2023-12-30,2.3
California,100000,2023-12-30,8.8
California,100000,2023-12-30,5.2
California,100000,2023-12-30,16.3
California,100000,2024-01-06,3.2
California,100000,2024-01-06,8.4
California,100000,2024-01-06,5.3
California,100000,2024-01-06,16.9
California,100000,2024-01-13,2.1
California,100000,2024-01-13,8.0
California,100000,2024-01-13,2.9
California,100000,2024-01-13,13.0
California,100000,2024-01-20,1.5
California,100000,2024-01-20,7.5
California,100000,2024-01-20,2.8
California,100000,2024-01-20,11.8
California,100000,2024-01-27,1.5
California,100000,2024-01-27,5.4
California,100000,2024-01-27,1.8
California,100000,2024-01-27,8.7
California,100000,2024-02-03,1.0
California,100000,2024-02-03,5.4
California,100000,2024-02-03,1.4
California,100000,2024-02-03,7.800000000000001
California,100000,2024-02-10,1.2
California,100000,2024-02-10,4.9
California,100000,2024-02-10,1.3
California,100000,2024-02-10,7.4
California,100000,2024-02-17,0.6
California,100000,2024-02-17,4.4
California,100000,2024-02-17,1.0
California,100000,2024-02-17,6.0
California,100000,2024-02-24,0.9
